City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,75,2.3,broken clouds
122,San Luis,AR,-33.295,-66.3356,83.89,34,40,4.61,scattered clouds
123,Saskylakh,RU,71.9167,114.0833,-6.32,99,100,5.64,light snow
124,Kampot,KH,10.6167,104.1833,80.65,80,52,4.81,broken clouds
125,Sur,OM,22.5667,59.5289,69.71,64,1,7.31,clear sky
126,Mount Gambier,AU,-37.8333,140.7667,53.51,100,99,10.36,overcast clouds
127,Pascagoula,US,30.3658,-88.5561,41.22,93,100,11.5,overcast clouds
128,Kudahuvadhoo,MV,2.6708,72.8944,81.34,74,71,8.16,broken clouds
129,Harper,LR,4.375,-7.7169,79.99,80,33,7.14,scattered clouds
130,Mahebourg,MU,-20.4081,57.7,80.26,94,75,18.41,broken clouds
131,Hermanus,ZA,-34.4187,19.2345,63.81,67,0,19.24,clear sky
132,Karratha,AU,-20.7377,116.8463,84.04,69,98,9.08,overcast clouds
133,Naze,JP,28.3667,129.4833,52.72,56,86,16.49,overcast clouds
134,Cabo San Lucas,MX,22.8909,-109.9124,74.61,56,0,8.05,clear sky
135,Thunder Bay,CA,48.4001,-89.3168,14.56,51,40,11.5,scattered clouds
136,Lolodorf,CM,3.2333,10.7333,70.65,95,28,2.15,scattered clouds
137,Saurimo,AO,-9.6608,20.3916,64.29,95,76,3.78,broken clouds
138,Samana,DO,19.2056,-69.3369,80.82,83,75,4.61,broken clouds
139,Matara,LK,5.9485,80.5353,73.18,89,50,5.84,scattered clouds
140,Ojinaga,MX,29.5667,-104.4167,49.57,36,0,8.05,clear sky
141,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,40,13.8,scattered clouds
142,Fayaoue,NC,-20.65,166.5333,82.76,81,100,13.24,light rain
143,Kamloops,CA,50.6665,-120.3192,37.58,80,20,17.27,few clouds
144,Miraflores,MX,19.2167,-98.8083,73.02,32,28,8.39,scattered clouds
145,Okha,RU,53.5739,142.9478,2.86,92,100,19.1,overcast clouds
146,Awjilah,LY,29.1081,21.2869,52.5,66,0,8.1,clear sky
147,Acapulco,MX,16.8634,-99.8901,84.02,65,20,9.22,few clouds
148,Clyde River,CA,70.4692,-68.5914,-7.37,84,100,12.66,light snow
149,Bredasdorp,ZA,-34.5322,20.0403,65.52,63,13,13.8,few clouds
150,Nuuk,GL,64.1835,-51.7216,7.41,78,75,11.5,broken clouds
151,Pauini,BR,-7.7136,-66.9764,76.08,94,100,1.41,overcast clouds
152,Kodiak,US,57.79,-152.4072,38.71,60,100,3.44,overcast clouds
153,Velsk,RU,61.0701,42.0983,-14.55,100,99,1.1,overcast clouds
154,Arman,RU,59.7,150.1667,-2.38,73,96,12.64,overcast clouds
155,Vila Velha,BR,-20.3297,-40.2925,80.55,84,0,5.01,clear sky
156,Bengkulu,ID,-3.8004,102.2655,73.02,95,100,5.17,light rain
157,Bonthe,SL,7.5264,-12.505,77.41,83,47,7.2,scattered clouds
158,Juneau,US,58.3019,-134.4197,34.84,97,100,0.0,snow
159,Meulaboh,ID,4.1363,96.1285,75.47,87,100,4.21,light rain
160,Nanortalik,GL,60.1432,-45.2371,10.94,73,100,41.05,overcast clouds
161,Kingman,US,35.1894,-114.053,52.88,16,0,11.5,clear sky
162,Severo-Yeniseyskiy,RU,60.3725,93.0408,13.6,90,100,10.22,overcast clouds
163,Syumsi,RU,57.1111,51.6149,24.44,95,100,8.7,snow
164,Tevaitoa,PF,-16.7833,-151.5,80.37,76,51,15.95,light rain
165,Malappuram,IN,11.0667,76.0667,73.56,73,20,3.44,mist
166,Pietermaritzburg,ZA,-29.6168,30.3928,62.69,99,100,2.19,light rain
167,Miri,MY,4.4148,114.0089,75.34,100,40,3.44,scattered clouds
168,Aripuana,BR,-9.1667,-60.6333,77.9,94,99,0.45,overcast clouds
169,Cascais,PT,38.6979,-9.4215,56.52,68,100,1.01,overcast clouds
170,Itapipoca,BR,-3.4944,-39.5786,77.18,81,100,4.74,overcast clouds
171,Yashkul,RU,46.1711,45.3435,35.29,83,100,13.98,snow
172,Victoria,HK,22.2855,114.1577,58.24,78,98,4.0,overcast clouds
173,Tarakan,ID,3.3,117.6333,76.5,88,75,2.3,broken clouds
174,Olafsvik,IS,64.8945,-23.7142,27.55,71,100,24.38,overcast clouds
175,Mendeleyevo,RU,56.0333,37.2167,19.08,86,100,6.71,mist
176,Emba,KZ,48.8264,58.1442,26.62,82,100,18.5,overcast clouds
177,Nakur,IN,29.9167,77.3,46.63,92,4,3.47,clear sky
178,Qaanaaq,GL,77.484,-69.3632,-2.02,69,100,8.01,overcast clouds
179,Bluff,NZ,-46.6,168.3333,56.8,59,93,5.95,overcast clouds
180,Teodoro Sampaio,BR,-22.5325,-52.1675,75.88,89,76,4.97,moderate rain
181,Ballina,AU,-28.8667,153.5667,71.56,79,75,18.41,broken clouds
182,Faanui,PF,-16.4833,-151.75,80.62,75,26,14.32,scattered clouds
183,Sidi Ali,DZ,36.0998,0.4206,55.02,58,99,3.96,overcast clouds
184,Talcahuano,CL,-36.7167,-73.1167,71.28,56,20,21.85,few clouds
185,Geraldton,AU,-28.7667,114.6,70.21,37,0,6.91,clear sky
186,Nichinan,JP,31.6,131.3667,38.88,73,31,10.18,scattered clouds
187,Shelburne,CA,44.0787,-80.2041,12.56,76,100,7.81,overcast clouds
188,Fortuna,US,40.5982,-124.1573,59.18,77,0,1.01,clear sky
189,Amuntai,ID,-2.4177,115.2494,72.77,99,100,0.54,overcast clouds
190,Manuk Mangkaw,PH,4.8,119.85,80.17,78,99,7.14,overcast clouds
191,Barrow,US,71.2906,-156.7887,-27.38,68,100,8.05,haze
192,Daska,PK,32.3243,74.3497,44.58,88,0,2.19,clear sky
193,Mataura,NZ,-46.1927,168.8643,56.48,68,93,2.68,overcast clouds
194,Kavieng,PG,-2.5744,150.7967,82.65,72,88,6.17,overcast clouds
195,Dingle,PH,10.9995,122.6711,73.71,91,100,10.09,overcast clouds
196,Springbok,ZA,-29.6643,17.8865,76.59,29,44,3.31,scattered clouds
197,Katsikas,GR,39.6225,20.8875,36.55,86,0,1.14,clear sky
198,Vaitape,PF,-16.5167,-151.75,80.62,75,28,14.43,scattered clouds
199,Mar Del Plata,AR,-38.0023,-57.5575,71.1,86,75,1.99,moderate rain
200,Longyearbyen,SJ,78.2186,15.6401,17.44,73,20,14.97,few clouds
201,New Norfolk,AU,-42.7826,147.0587,62.74,75,39,0.18,scattered clouds
202,Ilulissat,GL,69.2167,-51.1,14.02,73,75,21.85,mist
203,Lasa,IT,46.6166,10.7002,40.46,67,75,4.18,broken clouds
204,Saldanha,ZA,-33.0117,17.9442,62.65,71,0,16.82,clear sky
205,Salinas,US,36.6777,-121.6555,68.79,33,0,6.91,clear sky
206,Las Vegas,US,36.175,-115.1372,56.26,23,0,3.44,clear sky
207,Barguzin,RU,53.6167,109.6167,-0.81,98,98,1.79,overcast clouds
208,Luderitz,NA,-26.6481,15.1594,67.12,75,15,8.5,few clouds
209,Dzhebariki-Khaya,RU,62.2167,135.8,-39.35,100,66,1.66,broken clouds
210,Luba,GQ,3.4568,8.5547,76.89,79,38,8.34,scattered clouds
211,Demyanovo,RU,60.3511,47.0842,-8.61,100,100,3.44,overcast clouds
212,Ugoofaaru,MV,5.6667,73.0,80.78,71,8,11.56,clear sky
213,Mariental,NA,-24.6333,17.9667,79.25,28,17,11.16,few clouds
214,Prestonpans,GB,55.9594,-2.9804,37.0,81,20,1.99,few clouds
215,Constitucion,CL,-35.3333,-72.4167,66.11,73,19,17.67,few clouds
216,San Quintin,MX,30.4833,-115.95,62.01,39,1,10.56,clear sky
217,Esperance,AU,-33.8667,121.9,62.44,77,1,14.0,clear sky
218,Paris,FR,48.8534,2.3488,42.15,88,0,1.01,clear sky
219,Salalah,OM,17.0151,54.0924,73.49,64,20,4.61,few clouds
220,Souillac,MU,-20.5167,57.5167,80.37,94,75,18.41,light rain
221,Ginda,IN,30.6945,78.4932,31.01,70,30,7.05,scattered clouds
222,Zeya,RU,53.75,127.2667,-3.08,87,100,3.69,overcast clouds
223,Charters Towers,AU,-20.1,146.2667,75.15,75,70,13.31,broken clouds
224,Vardo,NO,70.3705,31.1107,21.18,79,40,24.16,scattered clouds
225,Taltal,CL,-25.4,-70.4833,70.66,64,22,7.52,few clouds
226,Sydney,AU,-33.8679,151.2073,71.35,65,75,5.99,broken clouds
227,Pankrushikha,RU,53.8319,80.3406,5.31,86,51,7.99,broken clouds
228,Campestre,BR,-21.7111,-46.2464,67.24,93,100,3.74,overcast clouds
229,Tambura,SS,5.6,27.4667,75.81,24,92,4.85,overcast clouds
230,Chuy,UY,-33.6971,-53.4616,73.67,87,15,8.57,few clouds
231,Umm Lajj,SA,25.0213,37.2685,61.75,48,5,9.91,clear sky
232,Brejo Santo,BR,-7.4933,-38.9872,88.03,48,100,3.44,overcast clouds
233,Tilichiki,RU,60.4667,166.1,-8.99,85,96,8.86,overcast clouds
234,Hasaki,JP,35.7333,140.8333,36.0,35,55,26.71,broken clouds
235,Te Anau,NZ,-45.4167,167.7167,52.48,62,27,4.65,scattered clouds
236,Shimoda,JP,34.6667,138.95,35.1,64,11,28.61,few clouds
237,Svetlogorsk,BY,52.6333,29.7333,5.68,99,87,5.88,overcast clouds
238,Kurilsk,RU,45.2333,147.8833,23.23,79,100,8.5,overcast clouds
239,Niquelandia,BR,-14.4739,-48.4597,74.97,85,89,2.15,overcast clouds
240,Takoradi,GH,4.8845,-1.7554,80.38,82,51,5.53,broken clouds
241,Grand Gaube,MU,-20.0064,57.6608,80.38,83,100,8.99,overcast clouds
242,The Valley,AI,18.217,-63.0578,72.82,94,75,19.57,broken clouds
243,Itoman,JP,26.1247,127.6694,59.02,66,75,20.71,broken clouds
244,Georgetown,MY,5.4112,100.3354,78.89,95,40,0.0,scattered clouds
245,Coquimbo,CL,-29.9533,-71.3436,69.53,64,20,11.5,few clouds
246,Kisanga,TZ,-7.4362,37.7034,73.08,99,100,2.3,heavy intensity rain
247,Sao Filipe,CV,14.8961,-24.4956,73.53,73,0,8.88,clear sky
248,Guanica,PR,17.9716,-66.908,79.32,80,23,1.01,few clouds
249,Nouadhibou,MR,20.931,-17.0347,69.78,60,1,12.66,clear sky
250,Richards Bay,ZA,-28.783,32.0377,72.36,95,100,16.22,heavy intensity rain
251,Atlantic Beach,US,30.3344,-81.3987,84.06,58,75,12.66,broken clouds
252,Upington,ZA,-28.4478,21.2561,75.58,53,6,2.3,clear sky
253,Rock Sound,BS,24.9,-76.2,74.53,60,29,10.89,scattered clouds
254,Goundam,ML,16.4145,-3.6708,69.46,11,72,11.45,broken clouds
255,Ostrovnoy,RU,68.0531,39.5131,8.08,91,100,15.66,overcast clouds
256,Aguimes,ES,27.9054,-15.4461,64.65,45,0,2.3,clear sky
257,Leningradskiy,RU,69.3833,178.4167,-14.21,89,45,9.48,scattered clouds
258,Bedele,ET,8.456,36.353,60.6,49,95,3.89,overcast clouds
259,Agropoli,IT,40.3469,14.9966,55.29,68,100,3.94,overcast clouds
260,Qaqortoq,GL,60.7167,-46.0333,5.5,68,14,19.35,few clouds
261,Walvis Bay,NA,-22.9575,14.5053,66.09,79,60,5.77,broken clouds
262,Hubli,IN,15.35,75.1667,62.51,79,27,3.0,scattered clouds
263,Spornoye,RU,50.8448,37.2913,19.42,97,22,7.16,few clouds
264,Ayan,RU,56.45,138.1667,-3.01,72,100,14.41,overcast clouds
265,Beringovskiy,RU,63.05,179.3167,-10.34,88,93,11.9,overcast clouds
266,Inirida,CO,3.8653,-67.9239,84.15,68,75,3.8,broken clouds
267,Concepcion Del Uruguay,AR,-32.4825,-58.2372,80.82,65,100,7.49,overcast clouds
268,Rio Gallegos,AR,-51.6226,-69.2181,62.65,29,0,8.05,clear sky
269,Ali-Berdukovskiy,RU,43.9895,41.7421,26.46,96,100,9.08,light snow
270,Veraval,IN,20.9,70.3667,64.56,60,4,3.76,clear sky
271,Ende,ID,-8.8432,121.6623,77.72,89,96,3.78,overcast clouds
272,Port Hedland,AU,-20.3167,118.5667,84.25,84,100,5.75,overcast clouds
273,Yeniseysk,RU,58.4497,92.1703,21.83,94,100,8.59,light snow
274,Sioux Lookout,CA,50.1001,-91.917,1.78,60,20,5.75,few clouds
275,Peleduy,RU,59.6289,112.7406,5.43,98,100,4.05,overcast clouds
276,Namatanai,PG,-3.6667,152.4333,82.49,74,92,8.99,overcast clouds
277,Cozumel,MX,20.5083,-86.9458,84.11,76,1,3.0,clear sky
278,Lincoln,US,40.8,-96.667,33.17,36,0,5.01,clear sky
279,Boende,CD,-0.2167,20.8667,74.7,50,83,3.36,broken clouds
280,Khash,IR,28.2211,61.2158,50.05,19,0,0.94,clear sky
281,Voh,NC,-20.9667,164.7,84.56,74,100,6.51,light rain
282,Pataias,PT,39.6698,-8.9958,51.76,90,100,10.83,overcast clouds
283,Kulhudhuffushi,MV,6.6221,73.07,81.01,63,46,8.48,scattered clouds
284,Norman Wells,CA,65.282,-126.8329,-18.36,69,75,14.97,broken clouds
285,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,13.8,scattered clouds
286,Bolgar,RU,54.95,49.0667,26.51,97,100,7.2,overcast clouds
287,Berlevag,NO,70.8578,29.0864,19.35,73,75,14.97,broken clouds
288,Qui Nhon,VN,13.7667,109.2333,73.09,89,71,15.82,broken clouds
289,Pevek,RU,69.7008,170.3133,-23.17,100,87,6.26,overcast clouds
290,Birin,NP,26.8865,88.0718,40.23,94,100,1.23,overcast clouds
291,Bilibino,RU,68.0546,166.4372,-9.74,78,1,4.99,clear sky
292,Nagapattinam,IN,10.7667,79.8333,74.46,82,15,2.15,few clouds
293,Muzhi,RU,65.3667,64.6667,5.85,85,71,8.99,broken clouds
294,Sola,VU,-13.8833,167.55,79.47,78,100,8.05,moderate rain
295,Mudanjiang,CN,44.5833,129.6,-9.06,94,82,4.5,broken clouds
296,San Pedro De Macoris,DO,18.4616,-69.2972,80.73,76,19,14.7,few clouds
297,Porosozero,RU,62.7191,32.727,6.28,95,100,9.86,overcast clouds
298,Najran,SA,17.4924,44.1277,66.85,67,6,8.03,clear sky
299,Lenine,UA,45.2986,35.7771,31.08,66,100,14.83,overcast clouds
300,Outjo,NA,-20.1167,16.15,68.52,75,98,7.72,overcast clouds
301,Vera Cruz,BR,-12.6333,-41.0333,73.89,70,99,1.25,overcast clouds
302,Vila,PT,42.0304,-8.1588,41.7,84,79,2.93,broken clouds
303,San Cristobal,VE,7.7669,-72.225,77.18,79,84,2.82,broken clouds
304,Ancud,CL,-41.8697,-73.8203,67.53,71,88,7.65,overcast clouds
305,Mnogovershinnyy,RU,53.9353,139.9242,-2.2,96,100,5.97,overcast clouds
306,Avera,US,33.194,-82.5271,65.71,89,100,11.45,light rain
307,Narsaq,GL,60.9167,-46.05,-2.09,65,13,13.73,few clouds
308,Sile,TR,41.1754,29.6133,36.27,59,4,1.01,clear sky
309,Ust-Nera,RU,64.5667,143.2,-20.45,74,81,0.74,broken clouds
310,Sambava,MG,-14.2667,50.1667,77.45,83,100,3.96,overcast clouds
311,Verkhovazhye,RU,60.7472,42.0465,-10.5,100,100,0.38,overcast clouds
312,Roma,US,43.2128,-75.4557,19.44,89,100,5.75,mist
313,Hambantota,LK,6.1241,81.1185,73.74,100,0,2.3,clear sky
314,Cherskiy,RU,68.75,161.3,-34.8,98,13,3.98,few clouds
315,Alice Springs,AU,-23.7,133.8833,56.75,94,2,0.0,clear sky
316,Santa Cruz,BO,-17.8,-63.1667,84.25,70,75,16.11,broken clouds
317,Inhambane,MZ,-23.865,35.3833,79.21,62,66,13.67,broken clouds
318,Champerico,GT,14.3,-91.9167,93.74,59,6,13.58,clear sky
319,Salinopolis,BR,-0.6136,-47.3561,78.78,84,99,9.4,overcast clouds
320,Pringsewu,ID,-5.3582,104.9744,73.08,99,99,1.61,overcast clouds
321,Gander,CA,48.9682,-54.5906,21.58,93,100,20.71,overcast clouds
322,Tessalit,ML,20.1986,1.0114,62.1,13,0,10.74,clear sky
323,Laje,BR,-10.1833,-40.9667,80.24,42,51,7.16,broken clouds
324,Sao Domingos Do Prata,BR,-19.865,-42.9683,78.3,98,100,2.55,light rain
325,Chumikan,RU,54.7183,135.315,-4.2,77,100,14.05,overcast clouds
326,Goderich,CA,43.7501,-81.7165,16.92,73,100,9.22,overcast clouds
327,Barreirinha,BR,-2.7933,-57.07,75.2,91,100,2.01,overcast clouds
328,Bintulu,MY,3.1667,113.0333,73.81,100,20,0.0,few clouds
329,San Ignacio,BZ,17.1561,-89.0714,86.14,62,40,11.5,scattered clouds
330,Puteyets,RU,65.1716,57.091,2.21,98,96,3.87,overcast clouds
331,Tabou,CI,4.423,-7.3528,79.92,81,8,6.69,clear sky
332,Cam Ranh,VN,11.9214,109.1591,73.36,83,40,13.8,scattered clouds
333,Kedrovyy,RU,56.1667,91.8167,19.81,87,100,7.52,overcast clouds
334,Bubaque,GW,11.2833,-15.8333,78.17,74,4,13.98,clear sky
335,Suhut,TR,38.5311,30.5458,14.14,93,33,0.38,scattered clouds
336,Princeton,US,25.5384,-80.4089,80.02,71,20,6.91,few clouds
337,Aksarka,RU,66.5606,67.7975,4.68,97,100,2.62,overcast clouds
338,Iwanai,JP,42.9744,140.5089,21.99,82,100,4.97,light snow
339,Lokachi,UA,50.737,24.6494,34.75,95,100,11.27,overcast clouds
340,Nador,MA,35.174,-2.9287,64.65,39,0,8.05,clear sky
341,Nattam,IN,10.2333,78.2333,75.65,86,58,2.75,broken clouds
342,Atambua,ID,-9.1061,124.8925,73.42,91,87,0.63,overcast clouds
343,Fez,MA,34.0372,-4.9998,52.05,53,0,9.22,clear sky
344,Norcasia,CO,5.5778,-74.8852,80.02,78,88,2.15,overcast clouds
345,Hokitika,NZ,-42.7167,170.9667,60.13,85,100,7.81,overcast clouds
346,Cabedelo,BR,-6.9811,-34.8339,83.07,68,17,12.71,few clouds
347,Kodinsk,RU,58.6881,99.1844,7.12,97,100,4.7,overcast clouds
